time,latitude,longitude,distanceinmeters,heartrate,HHMMSS,meters,seconds,mph
2021-05-02T02:18:30.000Z,32.882233802229166,-117.23948881030083,0.550000011920929,98,02:18:30.000Z,0.0,0,0.0
2021-05-02T02:18:31.000Z,32.882233802229166,-117.23948881030083,0.550000011920929,97,02:18:31.000Z,0.0,1,0.0
2021-05-02T02:18:41.000Z,32.882172195240855,-117.239481350407,9.380000114440918,96,02:18:41.000Z,8.830000102519989,10,1.9752710229337216
2021-05-02T02:18:47.000Z,32.88206188939512,-117.23938076756895,24.809999465942383,93,02:18:47.000Z,15.429999351501465,6,5.752818091551464
2021-05-02T02:18:59.000Z,32.8817330673337,-117.23927197046578,63.349998474121094,90,02:18:59.000Z,38.53999900817871,12,7.184498148441315
2021-05-02T02:19:13.000Z,32.881539948284626,-117.23880191333592,113.52999877929688,89,02:19:13.000Z,50.18000030517578,14,8.018047191619873
2021-05-02T02:19:21.000Z,32.88131824694574,-117.23860912956297,148.22999572753906,86,02:19:21.000Z,34.69999694824219,8,9.702986646652223
2021-05-02T02:19:24.000Z,32.881240379065275,-117.23860527388752,156.8699951171875,80,02:19:24.000Z,8.639999389648438,3,6.442559544881185
2021-05-02T02:19:25.000Z,32.88119914010167,-117.23860510624945,161.4499969482422,76,02:19:25.000Z,4.5800018310546875,1,10.245464096069336
2021-05-02T02:19:26.000Z,32.88111515343189,-117.23860686644912,170.75999450683594,79,02:19:26.000Z,9.30999755859375,1,20.82646453857422
2021-05-02T02:19:28.000Z,32.881077099591494,-117.23861055448651,174.99000549316406,85,02:19:28.000Z,4.230010986328125,2,4.7312672882080085
2021-05-02T02:19:29.000Z,32.88100618869066,-117.23862379789352,182.9600067138672,99,02:19:29.000Z,7.970001220703125,1,17.82889273071289
2021-05-02T02:19:45.000Z,32.880559265613556,-117.2386475186795,233.25,100,02:19:45.000Z,50.28999328613281,16,7.031169686317444
2021-05-02T02:19:54.000Z,32.88030277937651,-117.2384831495583,266.2300109863281,103,02:19:54.000Z,32.980010986328125,9,8.197364952935114
2021-05-02T02:19:58.000Z,32.88021602667868,-117.23831886425614,284.4599914550781,100,02:19:58.000Z,18.22998046875,4,10.195116577148438
2021-05-02T02:20:00.000Z,32.88020663894713,-117.23821576684713,294.1300048828125,98,02:20:00.000Z,9.670013427734375,2,10.8159100189209
2021-05-02T02:20:02.000Z,32.88020948879421,-117.2381104901433,303.9700012207031,101,02:20:02.000Z,9.839996337890625,2,11.006035903930664
2021-05-02T02:20:04.000Z,32.880211835727096,-117.23800999112427,313.3800048828125,104,02:20:04.000Z,9.410003662109375,2,10.525089096069337
2021-05-02T02:20:05.000Z,32.88021401502192,-117.23796095699072,317.9800109863281,108,02:20:05.000Z,4.600006103515625,1,10.290213653564454
2021-05-02T02:20:06.000Z,32.88021678104997,-117.23791141994298,322.6199951171875,108,02:20:06.000Z,4.639984130859375,1,10.379644500732422
2021-05-02T02:20:09.000Z,32.88019976578653,-117.2377648204565,336.5400085449219,111,02:20:09.000Z,13.920013427734375,3,10.379690012613931
2021-05-02T02:20:11.000Z,32.88018526509404,-117.23766423761845,346.1000061035156,108,02:20:11.000Z,9.55999755859375,2,10.69285726928711
2021-05-02T02:20:12.000Z,32.880186438560486,-117.23761294037104,350.9100036621094,113,02:20:12.000Z,4.80999755859375,1,10.75996453857422
2021-05-02T02:20:13.000Z,32.880192222073674,-117.23756507970393,355.42999267578125,117,02:20:13.000Z,4.519989013671875,1,10.111215423583985
2021-05-02T02:20:14.000Z,32.880201023072004,-117.23751839250326,359.8999938964844,121,02:20:14.000Z,4.470001220703125,1,9.999392730712891
2021-05-02T02:20:15.000Z,32.88021300919354,-117.23747497424483,364.17999267578125,125,02:20:15.000Z,4.279998779296875,1,9.574357269287109
2021-05-02T02:20:16.000Z,32.880225917324424,-117.23743348382413,368.32000732421875,125,02:20:16.000Z,4.1400146484375,1,9.261212768554689
2021-05-02T02:20:17.000Z,32.88023438304663,-117.23739258013666,372.260009765625,129,02:20:17.000Z,3.94000244140625,1,8.813785461425782
2021-05-02T02:20:19.000Z,32.880246452987194,-117.23730683326721,380.3900146484375,126,02:20:19.000Z,8.1300048828125,2,9.093410461425782
2021-05-02T02:20:23.000Z,32.88026615045965,-117.23711832426488,398.17999267578125,130,02:20:23.000Z,17.78997802734375,4,9.949045211791992
2021-05-02T02:20:27.000Z,32.88029330782592,-117.23692419938743,416.6000061035156,133,02:20:27.000Z,18.420013427734375,4,10.301392509460449
2021-05-02T02:20:33.000Z,32.8802998457104,-117.2367084491998,436.94000244140625,129,02:20:33.000Z,20.339996337890625,6,7.583428634643555
2021-05-02T02:20:36.000Z,32.880294900387526,-117.23659965209663,447.1400146484375,132,02:20:36.000Z,10.20001220703125,3,7.605809102376302
2021-05-02T02:20:38.000Z,32.88028777576983,-117.23651868291199,454.760009765625,135,02:20:38.000Z,7.6199951171875,2,8.52296453857422
2021-05-02T02:20:40.000Z,32.88028031587601,-117.23643134348094,462.9800109863281,130,02:20:40.000Z,8.220001220703125,2,9.194071365356447
2021-05-02T02:20:43.000Z,32.88029255345464,-117.23629203625023,476.1300048828125,130,02:20:43.000Z,13.149993896484375,3,9.805512115478516
2021-05-02T02:20:46.000Z,32.88034192286432,-117.23615063354373,490.4800109863281,130,02:20:46.000Z,14.350006103515625,3,10.70032121785482
2021-05-02T02:20:54.000Z,32.880610981956124,-117.23602716811001,523.780029296875,127,02:20:54.000Z,33.300018310546875,8,9.31151762008667
2021-05-02T02:21:01.000Z,32.8808815497905,-117.23593815229833,554.75,124,02:21:01.000Z,30.969970703125,7,9.897117780412946
2021-05-02T02:21:06.000Z,32.880983809009194,-117.23577135242522,575.5499877929688,121,02:21:06.000Z,20.79998779296875,5,9.305914538574218
2021-05-02T02:21:12.000Z,32.88097240962088,-117.23553774878383,597.5,118,02:21:12.000Z,21.95001220703125,6,8.183696217854818
2021-05-02T02:21:21.000Z,32.88097249343991,-117.23514061421156,634.72998046875,115,02:21:21.000Z,37.22998046875,9,9.253718478732639
2021-05-02T02:21:28.000Z,32.880993867293,-117.23479972220957,666.719970703125,112,02:21:28.000Z,31.989990234375,7,10.223086879185269
2021-05-02T02:21:37.000Z,32.881002835929394,-117.23431005142629,712.5499877929688,109,02:21:37.000Z,45.83001708984375,9,11.391305358886719
2021-05-02T02:21:46.000Z,32.88112227804959,-117.23402665928006,745.7999877929688,108,02:21:46.000Z,33.25,9,8.264472222222222
2021-05-02T02:21:56.000Z,32.88143400102854,-117.23413151688874,782.1199951171875,115,02:21:56.000Z,36.32000732421875,10,8.124785638427735
2021-05-02T02:21:57.000Z,32.88146593607962,-117.23414123989642,785.77001953125,115,02:21:57.000Z,3.6500244140625,1,8.165104614257812
2021-05-02T02:22:10.000Z,32.88178972899914,-117.23420653492212,823.25,116,02:22:10.000Z,37.47998046875,13,6.449439716045673
2021-05-02T02:22:12.000Z,32.881770953536034,-117.23420821130276,825.52001953125,116,02:22:12.000Z,2.27001953125,2,2.539016845703125
2021-05-02T02:22:25.000Z,32.881456799805164,-117.23411123268306,862.1400146484375,113,02:22:25.000Z,36.6199951171875,13,6.301456082857572
2021-05-02T02:22:27.000Z,32.88138706237078,-117.23414601758122,870.5800170898438,107,02:22:27.000Z,8.44000244140625,2,9.440142730712891
2021-05-02T02:22:28.000Z,32.881365939974785,-117.23417409695685,874.0900268554688,108,02:22:28.000Z,3.510009765625,1,7.8518918457031255
2021-05-02T02:22:29.000Z,32.881349762901664,-117.23420812748373,877.739990234375,111,02:22:29.000Z,3.64996337890625,1,8.164968078613281
2021-05-02T02:22:30.000Z,32.881340542808175,-117.234245846048,881.4199829101562,118,02:22:30.000Z,3.67999267578125,1,8.232143615722656
2021-05-02T02:22:31.000Z,32.881338028237224,-117.23428356461227,884.9600219726562,121,02:22:31.000Z,3.5400390625,1,7.9190673828125
2021-05-02T02:22:34.000Z,32.881337609142065,-117.23440057598054,895.9199829101562,125,02:22:34.000Z,10.9599609375,3,8.1724775390625
2021-05-02T02:22:37.000Z,32.88132520392537,-117.2345135640353,906.5599975585938,132,02:22:37.000Z,10.6400146484375,3,7.933904256184896
2021-05-02T02:22:38.000Z,32.881332663819194,-117.23455371335149,910.3200073242188,135,02:22:38.000Z,3.760009765625,1,8.411141845703126
2021-05-02T02:22:39.000Z,32.88133442401886,-117.23459243774414,913.9400024414062,135,02:22:39.000Z,3.6199951171875,1,8.097929077148438
2021-05-02T02:22:41.000Z,32.88133827969432,-117.23466443829238,920.6900024414062,140,02:22:41.000Z,6.75,2,7.549875
2021-05-02T02:22:50.000Z,32.88131631910801,-117.23494615405798,947.219970703125,135,02:22:50.000Z,26.52996826171875,9,6.594171000162761
2021-05-02T02:22:51.000Z,32.88130986504257,-117.2349868901074,951.0499877929688,139,02:22:51.000Z,3.83001708984375,1,8.567748229980468
2021-05-02T02:22:56.000Z,32.8812943585217,-117.23516156896949,967.4199829101562,134,02:22:56.000Z,16.3699951171875,5,7.323935815429688
2021-05-02T02:22:57.000Z,32.881293101236224,-117.23519769497216,970.7999877929688,134,02:22:57.000Z,3.3800048828125,1,7.561070922851563
2021-05-02T02:23:02.000Z,32.88127331994474,-117.23539408296347,989.4400024414062,131,02:23:02.000Z,18.6400146484375,5,8.339542553710938
2021-05-02T02:23:15.000Z,32.88132335990667,-117.2358981706202,1038.1400146484375,128,02:23:15.000Z,48.70001220703125,13,8.380148254394532
2021-05-02T02:23:16.000Z,32.88135630078614,-117.23590864799917,1041.9200439453125,128,02:23:16.000Z,3.780029296875,1,8.455925537109376
2021-05-02T02:23:25.000Z,32.88165402598679,-117.23591392859817,1074.969970703125,125,02:23:25.000Z,33.0499267578125,9,8.214742906358508
2021-05-02T02:23:34.000Z,32.8819262702018,-117.23579951561987,1108.3599853515625,122,02:23:34.000Z,33.3900146484375,9,8.29927364095052
2021-05-02T02:23:36.000Z,32.881972370669246,-117.23579993471503,1113.6500244140625,122,02:23:36.000Z,5.2900390625,2,5.91690869140625
